region,PEinput,SEoutput,tech,coproduction,value
LAM,pebiolc,seel,biochp,sehe,0.9
OAS,pebiolc,seel,biochp,sehe,3.61606
SSA,pebiolc,seel,biochp,sehe,0.9
EUR,pebiolc,seel,biochp,sehe,1.56029
NEU,pebiolc,seel,biochp,sehe,2.08011
MEA,pebiolc,seel,biochp,sehe,0.9
REF,pebiolc,seel,biochp,sehe,3.53573
CAZ,pebiolc,seel,biochp,sehe,1.52298
CHA,pebiolc,seel,biochp,sehe,0.9
IND,pebiolc,seel,biochp,sehe,0.9
JPN,pebiolc,seel,biochp,sehe,0.9
USA,pebiolc,seel,biochp,sehe,1.0626
LAM,pecoal,seel,coalchp,sehe,0.9
OAS,pecoal,seel,coalchp,sehe,1.04408
SSA,pecoal,seel,coalchp,sehe,0.9
EUR,pecoal,seel,coalchp,sehe,0.778293
NEU,pecoal,seel,coalchp,sehe,0.118136
MEA,pecoal,seel,coalchp,sehe,0.9
REF,pecoal,seel,coalchp,sehe,1.43079
CAZ,pecoal,seel,coalchp,sehe,0.9
CHA,pecoal,seel,coalchp,sehe,0.9
IND,pecoal,seel,coalchp,sehe,0.9
JPN,pecoal,seel,coalchp,sehe,0.9
USA,pecoal,seel,coalchp,sehe,0.351335
LAM,pegas,seel,gaschp,sehe,0.9
OAS,pegas,seel,gaschp,sehe,0.859241
SSA,pegas,seel,gaschp,sehe,0.9
EUR,pegas,seel,gaschp,sehe,0.987262
NEU,pegas,seel,gaschp,sehe,1.6639
MEA,pegas,seel,gaschp,sehe,0.9
REF,pegas,seel,gaschp,sehe,1.18861
CAZ,pegas,seel,gaschp,sehe,0.846325
CHA,pegas,seel,gaschp,sehe,0.9
IND,pegas,seel,gaschp,sehe,0.9
JPN,pegas,seel,gaschp,sehe,0.9
USA,pegas,seel,gaschp,sehe,0.323572